,value,Date
0,2.0,1914-01-01
1,1.0,1915-01-01
2,3.0,1916-01-01
3,12.5,1917-01-01
4,19.7,1918-01-01
5,17.9,1919-01-01
6,17.0,1920-01-01
7,-1.6,1921-01-01
8,-11.1,1922-01-01
9,-0.6,1923-01-01
10,3.0,1924-01-01
11,0.0,1925-01-01
12,3.5,1926-01-01
13,-2.2,1927-01-01
14,-1.1,1928-01-01
15,-1.2,1929-01-01
16,0.0,1930-01-01
17,-7.0,1931-01-01
18,-10.1,1932-01-01
19,-9.8,1933-01-01
20,2.3,1934-01-01
21,3.0,1935-01-01
22,1.5,1936-01-01
23,2.2,1937-01-01
24,0.7,1938-01-01
25,-1.4,1939-01-01
26,-0.7,1940-01-01
27,1.4,1941-01-01
28,11.3,1942-01-01
29,7.6,1943-01-01
30,3.0,1944-01-01
31,2.3,1945-01-01
32,2.2,1946-01-01
33,18.1,1947-01-01
34,10.2,1948-01-01
35,1.3,1949-01-01
36,-2.1,1950-01-01
37,8.1,1951-01-01
38,4.3,1952-01-01
39,0.4,1953-01-01
40,1.1,1954-01-01
41,-0.7,1955-01-01
42,0.4,1956-01-01
43,3.0,1957-01-01
44,3.6,1958-01-01
45,1.4,1959-01-01
46,1.0,1960-01-01
47,1.7,1961-01-01
48,0.7,1962-01-01
49,1.3,1963-01-01
50,1.6,1964-01-01
51,1.0,1965-01-01
52,1.9,1966-01-01
53,3.5,1967-01-01
54,3.6,1968-01-01
55,4.4,1969-01-01
56,6.2,1970-01-01
57,5.3,1971-01-01
58,3.3,1972-01-01
59,3.6,1973-01-01
60,9.4,1974-01-01
61,11.8,1975-01-01
62,6.7,1976-01-01
63,5.2,1977-01-01
64,6.8,1978-01-01
65,9.3,1979-01-01
66,13.9,1980-01-01
67,11.8,1981-01-01
68,8.4,1982-01-01
69,3.7,1983-01-01
70,4.2,1984-01-01
71,3.5,1985-01-01
72,3.9,1986-01-01
73,1.5,1987-01-01
74,4.0,1988-01-01
75,4.7,1989-01-01
76,5.2,1990-01-01
77,5.7,1991-01-01
78,2.6,1992-01-01
79,3.3,1993-01-01
80,2.5,1994-01-01
81,2.8,1995-01-01
82,2.7,1996-01-01
83,3.0,1997-01-01
84,1.6,1998-01-01
85,1.7,1999-01-01
